Symbol,Security,Sector,Industry,MarketCap,MarketCap_Display
NVDA,NVIDIA Corp,Technology,Semiconductors,4969906831360.0,4.97T
AAPL,Apple Inc,Technology,Consumer Electronics,4275929874432.0,4.28T
MSFT,Microsoft Corp,Technology,Software - Infrastructure,2902586556416.0,2.90T
AMZN,Amazon.com Inc,Consumer Cyclical,Internet Retail,2566108479488.0,2.57T
GOOGL,Alphabet Inc,Communication Services,Internet Content & Information,4386274148352.0,4.39T
GOOG,Alphabet Inc,Communication Services,Internet Content & Information,4367737946112.0,4.37T
AVGO,Broadcom Inc,Technology,Semiconductors,1817728778240.0,1.82T
TSLA,Tesla Inc,Consumer Cyclical,Auto Manufacturers,1526438821888.0,1.53T
META,Meta Platforms Inc,Communication Services,Internet Content & Information,1439235178496.0,1.44T
MU,Micron Technology Inc,Technology,Semiconductors,1106994921472.0,1.11T
BRK.B,Berkshire Hathaway Inc,,,,
LLY,Eli Lilly & Co,Healthcare,Drug Manufacturers - General,1010342952960.0,1.01T
WMT,Walmart Inc,Consumer Defensive,Discount Stores,963245899776.0,963.25B
JPM,JPMorgan Chase & Co,Financial Services,Banks - Diversified,859372847104.0,859.37B
AMD,Advanced Micro Devices Inc,Technology,Semiconductors,834166325248.0,834.17B
INTC,Intel Corp,Technology,Semiconductors,626088804352.0,626.09B
V,Visa Inc,Financial Services,Credit Services,613103173632.0,613.10B
XOM,Exxon Mobil Corp,Energy,Oil & Gas Integrated,609348681728.0,609.35B
JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers - General,579826352128.0,579.83B
ORCL,Oracle Corp,Technology,Software - Infrastructure,529566367744.0,529.57B
CSCO,Cisco Systems Inc,Technology,Communication Equipment,477307731968.0,477.31B
LRCX,Lam Research Corp,Technology,Semiconductor Equipment & Materials,458721951744.0,458.72B
AMAT,Applied Materials Inc,Technology,Semiconductor Equipment & Materials,450373484544.0,450.37B
COST,Costco Wholesale Corp,Consumer Defensive,Discount Stores,435651411968.0,435.65B
MA,Mastercard Inc,Financial Services,Credit Services,432938450944.0,432.94B
CAT,Caterpillar Inc,Industrials,Farm & Heavy Construction Machinery,419401236480.0,419.40B
ABBV,AbbVie Inc,Healthcare,Drug Manufacturers - General,402351718400.0,402.35B
BAC,Bank of America Corp,Financial Services,Banks - Diversified,397551009792.0,397.55B
CVX,Chevron Corp,Energy,Oil & Gas Integrated,372866908160.0,372.87B
UNH,UnitedHealth Group Inc,Healthcare,Healthcare Plans,370995134464.0,371.00B
KO,Coca-Cola Co/The,Consumer Defensive,Beverages - Non-Alcoholic,355471097856.0,355.47B
GE,General Electric Co,Industrials,Aerospace & Defense,350331371520.0,350.33B
PG,Procter & Gamble Co/The,Consumer Defensive,Household & Personal Products,348381708288.0,348.38B
NFLX,Netflix Inc,Communication Services,Entertainment,338295554048.0,338.30B
MS,Morgan Stanley,Financial Services,Capital Markets,337602052096.0,337.60B
KLAC,KLA Corp,Technology,Semiconductor Equipment & Materials,332499288064.0,332.50B
HD,Home Depot Inc/The,Consumer Cyclical,Home Improvement Retail,327443152896.0,327.44B
GS,Goldman Sachs Group Inc/The,Financial Services,Capital Markets,313519144960.0,313.52B
PLTR,Palantir Technologies Inc,Technology,Software - Infrastructure,306831949824.0,306.83B
MRK,Merck & Co Inc,Healthcare,Drug Manufacturers - General,294032605184.0,294.03B
SNDK,Sandisk Corp/DE,Technology,Computer Hardware,293232541696.0,293.23B
PM,Philip Morris International Inc,Consumer Defensive,Tobacco,287242387456.0,287.24B
TXN,Texas Instruments Inc,Technology,Semiconductors,274047139840.0,274.05B
DELL,Dell Technologies Inc,Technology,Computer Hardware,256372080640.0,256.37B
WFC,Wells Fargo & Co,Financial Services,Banks - Diversified,256229670912.0,256.23B
IBM,International Business Machines Corp,Technology,Information Technology Services,255874367488.0,255.87B
GEV,GE Vernova Inc,Industrials,Specialty Industrial Machinery,252774154240.0,252.77B
RTX,RTX Corp,Industrials,Aerospace & Defense,247156801536.0,247.16B
LIN,Linde PLC,Basic Materials,Specialty Chemicals,242071175168.0,242.07B
C,Citigroup Inc,Financial Services,Banks - Diversified,238490828800.0,238.49B
PANW,Palo Alto Networks Inc,Technology,Software - Infrastructure,227890298880.0,227.89B
QCOM,QUALCOMM Inc,Technology,Semiconductors,223152881664.0,223.15B
AXP,American Express Co,Financial Services,Credit Services,222056333312.0,222.06B
STX,Seagate Technology Holdings PLC,Technology,Computer Hardware,210649759744.0,210.65B
